date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-12-07,6.85,6.86,6.74,6.72,303072.25,-0.11,-1.61,6.84,6.791,6.675,369069.78,456946.72,387464.44,0.2
2020-12-04,6.89,6.9,6.85,6.82,306429.16,-0.04,-0.58,6.848,6.785,6.664,457292.24,484382.96,387781.92,0.21
2020-12-03,6.93,6.94,6.89,6.87,347120.41,-0.01,-0.14,6.848,6.761,6.645,487394.86,477672.06,385416.82,0.23
2020-12-02,6.82,6.99,6.9,6.78,503159.91,0.08,1.17,6.822,6.732,6.623,512754.02,467025.61,376401.19,0.34
2020-12-01,6.78,6.85,6.82,6.73,385567.16,0.04,0.59,6.778,6.704,6.6,571681.13,456278.09,360072.47,0.26
2020-11-30,6.84,6.95,6.78,6.75,744184.56,-0.07,-1.02,6.742,6.68,6.579,544823.66,465187.93,351027.23,0.5
2020-11-27,6.78,6.86,6.85,6.73,456942.28,0.09,1.33,6.722,6.655,6.557,511473.68,423990.16,328649.88,0.31
2020-11-26,6.68,6.81,6.76,6.65,473916.19,0.08,1.2,6.674,6.615,6.535,467949.25,399573.6,316006.04,0.32
2020-11-25,6.77,6.85,6.68,6.68,797795.44,0.04,0.6,6.642,6.59,6.519,421297.2,367144.23,302374.93,0.54
2020-11-24,6.67,6.69,6.64,6.64,251279.81,-0.04,-0.6,6.63,6.574,6.507,340875.06,313413.02,268714.89,0.17
2020-11-23,6.62,6.7,6.68,6.56,577434.69,0.07,1.06,6.618,6.559,6.497,385552.2,317982.17,263370.78,0.39
2020-11-20,6.58,6.64,6.61,6.56,239320.12,0.01,0.15,6.588,6.543,6.487,336506.63,291180.88,241257.84,0.16
2020-11-19,6.64,6.65,6.6,6.57,240655.92,-0.02,-0.3,6.556,6.529,6.482,331197.94,293161.59,235470.86,0.16
2020-11-18,6.58,6.65,6.62,6.54,395684.75,0.04,0.61,6.538,6.514,6.476,312991.26,285776.78,231606.97,0.27
2020-11-17,6.54,6.62,6.58,6.51,474665.5,0.05,0.77,6.518,6.496,6.471,285950.98,263866.85,219949.52,0.32
2020-11-16,6.46,6.55,6.53,6.46,332206.88,0.08,1.24,6.5,6.478,6.466,250412.14,236866.53,204782.0,0.22
2020-11-13,6.49,6.51,6.45,6.43,212776.67,-0.06,-0.92,6.498,6.459,6.464,245855.13,233309.61,198962.67,0.14
2020-11-12,6.53,6.55,6.51,6.5,149622.52,-0.01,-0.15,6.502,6.455,6.466,255125.23,232438.49,196296.82,0.1
2020-11-11,6.48,6.55,6.52,6.45,260483.33,0.03,0.46,6.49,6.447,6.465,258562.29,237605.63,195470.57,0.18
2020-11-10,6.55,6.55,6.49,6.46,296971.31,-0.03,-0.46,6.474,6.44,6.465,241782.72,224016.76,193542.26,0.2
2020-11-09,6.49,6.55,6.52,6.47,309421.84,0.05,0.77,6.456,6.435,6.465,223320.92,208759.39,189860.32,0.21
2020-11-06,6.45,6.5,6.47,6.44,259127.16,0.02,0.31,6.42,6.431,6.465,220764.09,191334.8,187897.77,0.17
2020-11-05,6.46,6.49,6.45,6.45,166807.81,0.01,0.15,6.408,6.434,6.464,209751.74,177780.13,186683.17,0.11
2020-11-04,6.4,6.45,6.44,6.38,176585.5,0.04,0.62,6.404,6.438,6.46,216648.97,177437.17,185191.49,0.12
2020-11-03,6.35,6.41,6.4,6.35,204662.31,0.06,0.95,6.406,6.445,6.457,206250.8,176032.19,182541.67,0.14
2020-11-02,6.39,6.4,6.34,6.33,296637.66,-0.07,-1.09,6.414,6.453,6.456,194197.85,172697.46,182889.94,0.2
2020-10-30,6.43,6.45,6.41,6.37,204065.42,-0.02,-0.31,6.442,6.468,6.456,161905.5,164615.74,179292.61,0.14
2020-10-29,6.41,6.45,6.43,6.37,201293.98,-0.02,-0.31,6.46,6.477,6.454,145808.53,160155.15,181770.47,0.14
